city,date,mean
Katowice,2011-09-12,35
Katowice,2011-09-13,30
Katowice,2011-09-14,30.5
Katowice,2011-09-15,38
Katowice,2011-09-16,47.5
Katowice,2011-09-17,42
Katowice,2011-09-18,34.5
Katowice,2011-09-19,26
Katowice,2011-09-20,26.5
Katowice,2011-09-21,41
Katowice,2011-09-22,65.5
Katowice,2011-09-23,39.5
Katowice,2011-09-24,60
Katowice,2011-09-25,58
Katowice,2011-09-26,61.5
Katowice,2011-09-27,68
Katowice,2011-09-28,33.5
Katowice,2011-09-29,45.5
Katowice,2011-09-30,57.5
Katowice,2011-10-01,48.5
Katowice,2011-10-02,40
Katowice,2011-10-03,57.5
Katowice,2011-10-04,47
Katowice,2011-10-05,50.5
Katowice,2011-10-06,36.5
Katowice,2011-10-07,23.5
Katowice,2011-10-08,29
Katowice,2011-10-09,29
Katowice,2011-10-10,19.5
Katowice,2011-10-11,22.5
Katowice,2011-10-12,27
Katowice,2011-10-13,32
Katowice,2011-10-14,35
Katowice,2011-10-15,32
Katowice,2011-10-16,39.5
Katowice,2011-10-17,74
Katowice,2011-10-18,73.5
Katowice,2011-10-19,58
Katowice,2011-10-20,45
Katowice,2011-10-21,65.5
Katowice,2011-10-22,59
Katowice,2011-10-23,41
Katowice,2011-10-24,48
Katowice,2011-10-25,36
Katowice,2011-10-26,51
Katowice,2011-10-27,92
Katowice,2011-10-28,90
Katowice,2011-10-29,88
Katowice,2011-10-30,67
Katowice,2011-10-31,91
Katowice,2011-11-01,61
Katowice,2011-11-02,84
Katowice,2011-11-03,84
Katowice,2011-11-04,122
Katowice,2011-11-05,110
Katowice,2011-11-06,83
Katowice,2011-11-07,143
Katowice,2011-11-08,187
Katowice,2011-11-09,171
Katowice,2011-11-10,30
Katowice,2011-11-11,31
Katowice,2011-11-12,138
Katowice,2011-11-13,100
Katowice,2011-11-14,226
Katowice,2011-11-15,135
Katowice,2011-11-16,95
Katowice,2011-11-17,98
Katowice,2011-11-18,98
Katowice,2011-11-19,108
Katowice,2011-11-20,127
Katowice,2011-11-21,55
Katowice,2011-11-22,90
Katowice,2011-11-23,79
Katowice,2011-11-24,53
Katowice,2011-11-25,46
Katowice,2011-11-26,40
Katowice,2011-11-27,26.5
Katowice,2011-11-28,62.5
Katowice,2011-11-29,119
Katowice,2011-11-30,59
Katowice,2011-12-01,64
Katowice,2011-12-02,43
Katowice,2011-12-03,38.5
Katowice,2011-12-04,12
Katowice,2011-12-05,20.5
Katowice,2011-12-06,30.5
Katowice,2011-12-07,27.5
Katowice,2011-12-08,29.5
Katowice,2011-12-09,32
Katowice,2011-12-10,36.5
Katowice,2011-12-11,68
Katowice,2011-12-12,104
Katowice,2011-12-13,68.5
Katowice,2011-12-14,47.5
Katowice,2011-12-15,49.5
Katowice,2011-12-16,22
Katowice,2011-12-17,19
Katowice,2011-12-18,15
Katowice,2011-12-19,59
Katowice,2011-12-20,236.5
