Rok,Województwo,Kod strefy,Nazwa strefy,Kod stacji,Wskaźnik,Czas uśredniania,Średnia,Min,Max,L. dni > 120 (S8max),26 maks (S8max),Per. S93.2 (S8max),AOT40 V-VII,SOMO35,Liczba pomiarów,Kompl. lato,Kompl. zima,Liczba kompletnych mies. letnich (IV-IX),Kompletność/rok,Liczba Lato/Zima
2014,warmińsko-mazurskie,PL2803,strefa warmińsko-mazurska,WmMragParkow,O3,1g,53.7,0.0,153.7,4,107.8,107.8,9321,3651,8734,100,100,6,99.7,1.0
2014,warmińsko-mazurskie,PL2803,strefa warmińsko-mazurska,WmOstrChrobr,O3,1g,49.3,0.0,145.1,7,106.2,107.1,10343,3426,8342,94,96,5,95.2,1.0
2014,warmińsko-mazurskie,PL2803,strefa warmińsko-mazurska,WmPuszczaBor,O3,1g,58.8,0.0,158.0,16,114.1,115.1,12499,4491,8325,98,92,5,95.0,1.1
2014,wielkopolskie,PL3001,Aglomeracja Poznańska,WpPoznDabrow,O3,1g,39.9,0.0,154.5,11,111.3,111.3,11613,2901,8613,98,99,6,98.3,1.0
2014,wielkopolskie,PL3003,strefa wielkopolska,WpBoroDrapal,O3,1g,42.4,1.1,146.6,5,101.4,101.4,8118,2233,8601,98,98,6,98.2,1.0
2014,wielkopolskie,PL3003,strefa wielkopolska,WpKoniWyszyn,O3,1g,44.8,0.6,145.3,12,106.6,106.9,11940,2930,8518,98,96,6,97.2,1.0
2014,wielkopolskie,PL3003,strefa wielkopolska,WpPiaskiKrzy,O3,1g,48.5,2.1,163.2,18,114.0,115.5,14582,4180,7998,93,89,5,91.3,1.1
2014,zachodniopomorskie,PL3201,Aglomeracja Szczecińska,ZpSzczAndr01,O3,1g,47.2,1.0,169.0,6,100.5,101.1,8776,2953,8153,96,90,6,93.1,1.1
2014,zachodniopomorskie,PL3203,strefa zachodniopomorska,ZpWiduBulRyb,O3,1g,47.5,0.0,162.0,5,102.3,103.0,9420,2899,8383,97,95,5,95.7,1.0
2015,dolnośląskie,PL0201,Aglomeracja Wrocławska,DsWrocBartni,O3,1g,45.3,0.0,178.7,17,110.7,110.7,8101,3689,8715,100,99,6,99.5,1.0
2015,dolnośląskie,PL0201,Aglomeracja Wrocławska,DsWrocWybCon,O3,1g,47.6,0.0,188.0,24,119.1,119.1,11727,4684,8708,99,100,6,99.4,1.0
2015,dolnośląskie,PL0202,miasto Legnica,DsLegAlRzecz,O3,1g,49.4,0.0,200.9,34,129.9,134.0,16496,5758,8617,98,99,5,98.4,1.0
2015,dolnośląskie,PL0203,miasto Wałbrzych,DsWalbrzWyso,O3,1g,55.0,0.0,171.9,28,122.8,123.1,15248,5396,8467,94,99,5,96.7,1.0
2015,dolnośląskie,PL0204,strefa dolnośląska,DsCzerStraza,O3,1g,73.5,0.0,187.5,35,129.5,129.7,15746,6978,8385,95,97,5,95.7,1.0
2015,dolnośląskie,PL0204,strefa dolnośląska,DsJelGorOgin,O3,1g,55.4,0.0,194.3,46,136.5,136.5,23285,7424,8684,99,99,6,99.1,1.0
2015,dolnośląskie,PL0204,strefa dolnośląska,DsKlodzSzkol,O3,1g,48.0,0.6,177.1,32,125.5,125.5,16584,5448,8671,99,99,6,99.0,1.0
2015,dolnośląskie,PL0204,strefa dolnośląska,DsOsieczow21,O3,1g,51.4,0.0,176.6,32,123.8,125.3,14556,5533,8469,98,95,5,96.7,1.0
2015,dolnośląskie,PL0204,strefa dolnośląska,DsSniezkaObs,O3,1g,84.4,15.0,186.0,44,136.6,136.6,18901,9187,8725,100,100,6,99.6,1.0
2015,dolnośląskie,PL0204,strefa dolnośląska,DsSwidnMarciMOB,O3,1g,60.7,0.4,173.5,28,121.9,123.4,15334,5909,7872,99,80,6,89.9,1.3
2015,kujawsko-pomorskie,PL0401,Aglomeracja Bydgoska,KpBydWarszaw,O3,1g,42.5,0.0,158.0,13,104.8,104.8,5844,2751,8605,100,97,6,98.2,1.0
2015,kujawsko-pomorskie,PL0402,miasto Toruń,KpToruDziewu,O3,1g,48.1,0.0,166.1,20,114.6,115.0,9317,3880,8661,100,98,6,98.9,1.0
2015,kujawsko-pomorskie,PL0403,miasto Włocławek,KpWloclChelmMOB,O3,1g,57.5,0.0,180.1,33,126.5,127.7,14402,5779,8439,98,94,6,96.3,1.1
2015,kujawsko-pomorskie,PL0404,strefa kujawsko - pomorska,KpCiechTezni,O3,1g,51.8,0.0,179.7,14,105.0,115.4,13015,4721,6308,85,59,3,72.0,1.5
2015,kujawsko-pomorskie,PL0404,strefa kujawsko - pomorska,KpKoniczynka,O3,1g,52.6,0.0,176.3,23,115.8,119.6,14585,5100,8308,97,92,6,94.8,1.1
2015,kujawsko-pomorskie,PL0404,strefa kujawsko - pomorska,KpZielBoryTu,O3,1g,54.3,0.4,177.7,21,112.9,114.7,9884,4643,8362,96,95,4,95.5,1.0
2015,lubelskie,PL0601,Aglomeracja Lubelska,LbLubObywate,O3,1g,45.1,0.0,178.7,19,115.2,116.3,11851,3818,8512,95,99,4,97.2,1.0
2015,lubelskie,PL0602,strefa lubelska,LbBiaPodOrze,O3,1g,53.3,0.8,180.5,36,124.8,125.0,21382,5385,8472,98,96,6,96.7,1.0
2015,lubelskie,PL0602,strefa lubelska,LbBiaSlupRPN,O3,1g,56.4,0.4,158.2,30,125.7,126.5,17678,5546,7990,90,92,5,91.2,1.0
2015,lubelskie,PL0602,strefa lubelska,LbJarczWolaM,O3,1g,51.6,0.0,162.8,15,110.3,110.3,9070,3872,8747,100,100,6,99.9,1.0
2015,lubelskie,PL0602,strefa lubelska,LbWilczopole,O3,1g,51.0,1.4,178.4,15,109.9,109.9,10284,3690,8594,98,98,6,98.1,1.0
2015,lubuskie,PL0801,miasto Gorzów Wielkopolski,LuGorzKosGdy,O3,1g,42.0,0.1,166.7,13,100.9,103.6,5339,2842,8323,90,100,4,95.0,0.9
2015,lubuskie,PL0802,miasto Zielona Góra,LuZielKrotka,O3,1g,58.6,0.1,186.8,31,127.5,127.9,16212,5601,8564,96,99,4,97.8,1.0
2015,lubuskie,PL0803,strefa lubuska,LuSmolBytnic,O3,1g,50.7,0.0,194.0,31,130.2,130.4,17370,5759,8590,98,98,6,98.1,1.0
2015,lubuskie,PL0803,strefa lubuska,LuSulecDudka,O3,1g,54.0,0.0,180.5,26,121.0,122.5,13191,5414,8494,94,100,5,97.0,1.0
2015,lubuskie,PL0803,strefa lubuska,LuWsKaziWiel,O3,1g,52.1,0.0,185.1,24,118.6,131.4,12824,6348,5676,81,49,4,64.8,1.7
2015,lubuskie,PL0803,strefa lubuska,LuZarySzyman,O3,1g,53.8,0.0,214.3,30,125.4,128.8,16256,5329,8051,88,96,4,91.9,0.9
2015,łódzkie,PL1001,Aglomeracja Łódzka,LdLodzCzerni,O3,1g,55.6,0.6,178.5,30,125.8,125.8,17331,5644,8727,100,99,6,99.6,1.0
2015,łódzkie,PL1001,Aglomeracja Łódzka,LdLodzGdansk,O3,1g,49.7,0.2,184.2,24,119.8,120.4,14446,4576,8665,100,98,6,98.9,1.0
2015,łódzkie,PL1001,Aglomeracja Łódzka,LdPabiKonsta,O3,1g,52.1,0.8,178.7,28,122.0,122.3,16656,5232,8616,98,99,5,98.4,1.0
2015,łódzkie,PL1002,strefa łódzka,LdGajewUjWod,O3,1g,51.9,0.9,185.0,23,118.3,118.8,14562,4905,8617,99,98,6,98.4,1.0
2015,łódzkie,PL1002,strefa łódzka,LdParzniUjWo,O3,1g,58.2,0.1,182.7,31,126.1,127.7,17001,5962,8593,98,98,6,98.1,1.0
2015,łódzkie,PL1002,strefa łódzka,LdPioTrKraPr,O3,1g,45.3,-0.2,178.4,22,117.4,117.6,12345,4167,8626,99,98,6,98.5,1.0
2015,małopolskie,PL1201,Aglomeracja Krakowska,MpKrakBujaka,O3,1g,38.2,1.0,187.7,23,119.2,119.2,13974,4189,8740,100,100,6,99.8,1.0
2015,małopolskie,PL1202,miasto Tarnów,MpTarBitStud,O3,1g,45.8,1.0,191.9,19,116.9,118.2,12689,4015,8589,98,98,6,98.0,1.0
2015,małopolskie,PL1203,strefa małopolska,MpSzarowSpok,O3,1g,44.4,1.0,188.7,24,117.2,130.4,19477,5656,5085,66,50,3,58.0,1.3
2015,małopolskie,PL1203,strefa małopolska,MpSzarowWIOS1908,O3,1g,47.0,4.0,123.0,0,74.2,91.1,,1665,2114,0,48,0,24.1,0.0
2015,małopolskie,PL1203,strefa małopolska,MpSzymbaGorl,O3,1g,57.0,1.0,179.5,21,118.6,118.6,14480,5466,8733,99,100,6,99.7,1.0
2015,małopolskie,PL1203,strefa małopolska,MpTrzebOsZWM,O3,1g,54.8,1.0,192.1,38,129.7,129.7,18362,5668,8722,99,100,6,99.6,1.0
2015,małopolskie,PL1203,strefa małopolska,MpZakopaSien,O3,1g,52.0,1.0,170.7,25,119.6,121.3,15568,5339,8416,99,93,6,96.1,1.1
2015,mazowieckie,PL1401,Aglomeracja Warszawska,MzWarKondrat,O3,1g,36.4,0.1,165.5,12,101.8,110.8,8398,2483,6612,64,87,3,75.5,0.7
2015,mazowieckie,PL1401,Aglomeracja Warszawska,MzWarPodlesn,O3,1g,43.4,0.0,170.0,16,108.0,108.0,9240,3455,8705,99,100,6,99.4,1.0
2015,mazowieckie,PL1401,Aglomeracja Warszawska,MzWarWokalna,O3,1g,45.7,0.6,180.0,18,113.1,113.6,12587,4085,8616,99,98,6,98.4,1.0
2015,mazowieckie,PL1402,miasto Płock,MzPlocKroJad,O3,1g,46.1,0.1,158.1,8,101.8,101.8,5445,2437,8741,100,100,6,99.8,1.0
2015,mazowieckie,PL1403,miasto Radom,MzRadTochter,O3,1g,47.1,0.2,177.5,20,112.7,112.8,11756,4054,8403,96,96,4,95.9,1.0
2015,mazowieckie,PL1404,strefa mazowiecka,MzBelsIGFPAN,O3,1g,56.7,0.4,187.5,24,118.7,119.6,14690,5271,8697,100,99,6,99.3,1.0
2015,mazowieckie,PL1404,strefa mazowiecka,MzGranicaKPN,O3,1g,49.2,0.6,166.1,17,113.1,113.5,13299,4476,8513,96,98,4,97.2,1.0
2015,mazowieckie,PL1404,strefa mazowiecka,MzLegZegrzyn,O3,1g,49.2,0.0,183.8,27,123.3,123.3,14728,4794,8609,99,97,6,98.3,1.0
2015,mazowieckie,PL1404,strefa mazowiecka,MzPiasPulask,O3,1g,50.6,0.0,191.4,30,126.7,128.7,19652,6212,8223,98,90,6,93.9,1.1
2015,mazowieckie,PL1404,strefa mazowiecka,MzSiedKonars,O3,1g,53.1,0.2,172.5,18,110.8,111.6,12563,4678,8526,96,99,6,97.3,1.0
2015,mazowieckie,PL1404,strefa mazowiecka,MzZyraRoosev,O3,1g,49.2,0.1,176.4,21,118.4,118.8,14935,4918,8605,99,98,6,98.2,1.0
2015,opolskie,PL1601,miasto Opole,OpOpoleMinor,O3,1g,51.7,0.1,181.0,29,126.8,126.8,14818,5107,8740,100,100,6,99.8,1.0
2015,opolskie,PL1602,strefa opolska,OpKKozBSmial,O3,1g,46.2,0.5,199.9,32,123.7,124.1,14532,4893,8654,98,100,5,98.8,1.0
2015,opolskie,PL1602,strefa opolska,OpOlesSlowac,O3,1g,45.2,0.1,150.4,13,110.6,111.7,8762,3286,8663,99,99,6,98.9,1.0
