"film_id"|"channel_id"|"date"|"time"
"3774"|"1767"|"20170616"|"11:33:55"
"3770"|"893"|"20170616"|"11:28:29"
"3758"|"1791"|"20170616"|"11:24:00"
"3769"|"1864"|"20170616"|"11:20:37"
"3766"|"1791"|"20170616"|"11:16:14"
"3771"|"1791"|"20170616"|"11:12:25"
"3756"|"1792"|"20170616"|"11:08:48"
"3586"|"967"|"20170616"|"04:54:57"
"3612"|"967"|"20170616"|"04:54:42"
"2850"|"1435"|"20170615"|"16:30:01"
"205"|"1621"|"20170614"|"16:41:57"
"2794"|"142"|"20170614"|"16:05:41"
"2244"|"1201"|"20170614"|"16:00:22"
"1081"|"136"|"20170614"|"15:56:10"
"822"|"391"|"20170614"|"15:55:28"
"3152"|"1908"|"20170614"|"15:52:18"
"843"|"401"|"20170614"|"15:48:31"
"3762"|"1792"|"20170614"|"15:42:27"
"3765"|"1792"|"20170614"|"15:38:25"
"2264"|"550"|"20170614"|"15:34:48"
"3760"|"1792"|"20170614"|"15:30:32"
"3754"|"1464"|"20170614"|"15:25:23"
"3443"|"1739"|"20170614"|"15:16:23"
"821"|"391"|"20170614"|"14:33:53"
"2737"|"905"|"20170614"|"14:07:39"
"3758"|"1791"|"20170614"|"13:59:49"
"3769"|"1864"|"20170614"|"13:56:26"
"3767"|"1792"|"20170614"|"13:53:05"
"3756"|"1792"|"20170614"|"13:16:08"
"3766"|"1791"|"20170614"|"13:13:23"
"3771"|"1791"|"20170614"|"13:09:34"
"3772"|"1792"|"20170614"|"13:07:03"
"4083"|"967"|"20170614"|"00:00:59"
"3612"|"967"|"20170613"|"23:52:08"
"3620"|"967"|"20170613"|"23:37:51"
"3620"|"967"|"20170613"|"19:40:11"
"3630"|"967"|"20170613"|"19:35:20"
"3760"|"1792"|"20170613"|"18:27:27"
"3754"|"1464"|"20170613"|"18:27:16"
"3765"|"1792"|"20170613"|"18:22:52"
"1810"|"1080"|"20170613"|"13:18:09"
"1262"|"1353"|"20170613"|"00:42:58"
"1261"|"225"|"20170613"|"00:42:30"
"3277"|"2063"|"20170613"|"00:39:22"
"3278"|"2063"|"20170613"|"00:38:45"
"4092"|"1620"|"20170613"|"00:38:19"
"3280"|"2063"|"20170613"|"00:37:37"
"60"|"578"|"20170613"|"00:36:29"
"451"|"1132"|"20170613"|"00:20:15"
"3868"|"1534"|"20170613"|"00:17:54"
"3869"|"1534"|"20170613"|"00:16:43"
"2871"|"1591"|"20170613"|"00:14:25"
"1105"|"1555"|"20170613"|"00:13:20"
"3232"|"1552"|"20170613"|"00:13:04"
"1107"|"525"|"20170613"|"00:12:48"
"513"|"525"|"20170613"|"00:12:38"
"1106"|"1909"|"20170613"|"00:11:40"
"3870"|"525"|"20170613"|"00:08:53"
"598"|"525"|"20170613"|"00:08:48"
"597"|"749"|"20170613"|"00:08:33"
"3381"|"1712"|"20170612"|"22:54:41"
"2058"|"1082"|"20170612"|"22:54:15"
"2369"|"1279"|"20170612"|"22:54:07"
"1752"|"1046"|"20170612"|"22:53:03"
"876"|"1324"|"20170612"|"22:52:35"
"877"|"1324"|"20170612"|"22:51:43"
"1686"|"1891"|"20170612"|"22:46:19"
"2587"|"1891"|"20170612"|"22:39:21"
"919"|"1891"|"20170612"|"22:36:20"
"2791"|"1891"|"20170612"|"22:34:29"
"845"|"1891"|"20170612"|"22:32:54"
"771"|"1891"|"20170612"|"22:32:52"
