"title","genres","countries"
"Hotel Transylvania 2","Animation, Comedy, Family, Fantasy","USA"
"Evolution","Comedy, Sci-Fi","USA"
"Evolution","Comedy, Sci-Fi","USA"
"Surrogates","Action, Sci-Fi, Thriller","USA"
"Nine","Drama, Musical, Romance","UK, USA"
"The Last Witch Hunter","Action, Adventure, Fantasy","USA, China, Canada"
"Oceans","Documentary, Drama","France, Switzerland, Spain, USA, United Arab Emirates"
"Pompeii","Action, Adventure, Drama, History, Romance","Canada, Germany, USA"
"Journey 2: The Mysterious Island","Action, Adventure, Comedy","USA"
"Cloudy with a Chance of Meatballs 2","Animation, Action, Adventure, Comedy, Family, Fantasy, Sci-Fi","USA"
"Jack and Jill","Comedy","USA"
"The Little Prince","Animation, Adventure, Drama","France"
"The Secret Life of Pets","Animation, Adventure, Comedy, Family","Japan, USA"
"Despicable Me 2","Animation, Adventure, Comedy, Family, Fantasy, Sci-Fi","USA, France, Japan"
"Wanted","Action, Crime, Fantasy, Thriller","USA, Germany"
"Now You See Me","Crime, Mystery, Thriller","USA, France"
"Grown Ups","Comedy","USA"
"Hotel for Dogs","Comedy, Family","Germany, USA"
"Killers","Action, Comedy, Romance","USA"
"Immortals","Action, Drama, Fantasy, Romance","USA"
"Carriers","Drama, Horror, Sci-Fi, Thriller","USA"
"Minions","Animation, Action, Adventure, Comedy, Family","USA"
"Sucker Punch","Action, Fantasy","USA, Canada"
"The Angry Birds Movie","Animation, Action, Adventure, Comedy, Family","Finland, USA"
"Fool's Gold","Action, Adventure, Comedy, Romance, Thriller","USA"
"Funny People","Comedy, Drama","USA"
"The SpongeBob Movie: Sponge Out of Water","Animation, Adventure, Comedy, Family, Fantasy","USA, South Korea, Australia"
"Inglourious Basterds","Adventure, Drama, War","Germany, USA"
"Alvin and the Chipmunks: The Squeakquel","Animation, Comedy, Family, Fantasy, Music","USA"
"Olympus Has Fallen","Action, Thriller","USA"
"War Horse","Drama, History, War","USA, India"
"The Monuments Men","Drama, History, War","USA, Germany"
"Wall Street: Money Never Sleeps","Drama","USA"
"Dracula Untold","Action, Drama, Fantasy, Horror, War","USA, Japan"
"The Dilemma","Comedy, Drama","USA"
"Rock of Ages","Comedy, Drama, Musical, Romance","USA"
"Killer Elite","Action, Crime, Thriller","UK, Australia"
"Legends of Oz: Dorothy's Return","Animation, Adventure, Family","USA, India"
"Blackhat","Action, Crime, Thriller","USA"
"Escape Plan","Action, Crime, Mystery, Sci-Fi, Thriller","USA"
"The Legend of Hercules","Action, Adventure, Fantasy","USA"
"The Twilight Saga: Eclipse","Adventure, Drama, Fantasy, Romance","USA"
"Despicable Me","Animation, Comedy, Family, Fantasy","USA, France"
"Ted 2","Comedy","USA"
"Agora","Adventure, Biography, Drama, History, Romance","Spain"
"Hall Pass","Comedy, Romance","USA"
"The Finest Hours","Action, Drama, History","USA"
"Body of Lies","Action, Drama, Thriller","USA, UK"
"Dinner for Schmucks","Comedy","USA"
"Abraham Lincoln: Vampire Hunter","Action, Fantasy, Horror, Western","USA"
"Need for Speed","Action, Crime, Thriller","USA, India, UK, France, Philippines"
"Lincoln","Biography, Drama, History, War","USA, India"
"Step Brothers","Comedy","USA"
"Due Date","Adventure, Comedy, Drama","USA"
"Unbroken","Biography, Drama, Sport, War","USA"
