"Data";"Pył zawieszony PM10(ug/m3)";"Pył zawieszony PM2,5(ug/m3)"
"16-06-2018";30,1;14
"17-06-2018";31,2;14
"18-06-2018";23,1;9
"19-06-2018";25,6;9
"20-06-2018";26,4;10
"21-06-2018";38,5;13
"22-06-2018";13,4;2,5
"23-06-2018";14,2;2,5
"24-06-2018";7,7;2,5
"25-06-2018";11,8;6
"26-06-2018";10,1;6
"27-06-2018";18,1;8
"28-06-2018";20,9;11
"29-06-2018";29,3;11
"30-06-2018";14,8;2,5
"01-07-2018";9,9;2,5
"02-07-2018";13,2;2,5
"03-07-2018";24,6;5
"04-07-2018";32,9;9
"05-07-2018";36,8;14
"06-07-2018";31,1;10
"07-07-2018";25,2;8
"08-07-2018";22,5;10
"09-07-2018";27,8;12
"10-07-2018";27,2;10
"11-07-2018";25;17
"12-07-2018";14,6;9
"13-07-2018";14,7;8
"14-07-2018";22,8;9
"15-07-2018";15,1;8
"16-07-2018";25,4;11
"17-07-2018";14,3;10
"18-07-2018";7,8;6
"19-07-2018";17,6;8
"20-07-2018";24,3;10
"21-07-2018";38;17
"22-07-2018";40,3;19
"23-07-2018";37,5;13
"24-07-2018";39,7;14
"25-07-2018";34,7;12
"26-07-2018";32,8;12
"27-07-2018";24;11
"28-07-2018";25,6;15
"29-07-2018";22,3;13
"30-07-2018";26,1;14
"31-07-2018";33;15
"01-08-2018";28,5;14
"02-08-2018";32,7;15
"03-08-2018";29,8;16
"04-08-2018";35,2;16
"05-08-2018";20,8;10
"06-08-2018";18;2,5
"07-08-2018";27;9
"08-08-2018";31,1;12
"09-08-2018";32,2;15
"10-08-2018";29,2;10
"11-08-2018";11;7
"12-08-2018";17,3;9
"13-08-2018";22,8;12
"14-08-2018";14,7;8
"15-08-2018";15,4;10
"16-08-2018";16,1;10
"17-08-2018";26,6;14
"18-08-2018";37,4;32
"19-08-2018";30,6;17
"20-08-2018";39,1;18
"21-08-2018";26,1;9
"22-08-2018";30,9;12
"23-08-2018";41,1;16
"24-08-2018";36,3;17
"25-08-2018";16;9
"26-08-2018";13,3;9
"27-08-2018";17,7;9
"28-08-2018";32,1;10
"29-08-2018";32,7;15
"30-08-2018";36,5;15
"31-08-2018";21,1;7
"01-09-2018";21,5;13
"02-09-2018";26;15
"03-09-2018";28,3;14
"04-09-2018";29,2;14
"05-09-2018";26,2;13
"06-09-2018";27,7;13
"07-09-2018";42,7;18
"08-09-2018";24,9;13
"09-09-2018";25,1;13
"10-09-2018";33,1;13
"11-09-2018";28,2;12
"12-09-2018";35,2;12
"13-09-2018";31,9;11
"14-09-2018";12,2;6
"15-09-2018";20;11
"16-09-2018";19,6;11
"17-09-2018";33,2;15
"18-09-2018";35;15
"19-09-2018";32,8;16
"20-09-2018";45,3;20
"21-09-2018";57,3;20
"22-09-2018";12;6
"23-09-2018";9;6
"24-09-2018";10,8;2,5
"25-09-2018";10,8;6
"26-09-2018";18,1;8
"27-09-2018";21,6;12
"28-09-2018";26;12
"29-09-2018";32,6;14
"30-09-2018";36,2;21
"01-10-2018";21,6;11
"02-10-2018";15,8;9
"03-10-2018";12,7;NA
"04-10-2018";19,6;13
"05-10-2018";35,3;15
"06-10-2018";38,4;19
"07-10-2018";30,9;17
"08-10-2018";26;14
"09-10-2018";63,5;37
"10-10-2018";63,4;35
"11-10-2018";58,3;28
"12-10-2018";70,1;34
"13-10-2018";72,1;34
"14-10-2018";53,7;26
"15-10-2018";58,6;20
"16-10-2018";59,6;NA
"17-10-2018";74,5;38
"18-10-2018";61,7;40
"19-10-2018";75,6;54
"20-10-2018";46,4;33
"21-10-2018";24,8;17
"22-10-2018";35,1;25
"23-10-2018";16,3;9
"24-10-2018";8,2;2,5
"25-10-2018";10,3;7
"26-10-2018";22,9;15
"27-10-2018";28,5;20
"28-10-2018";16,7;10
"29-10-2018";26;14
"30-10-2018";29,8;9
"31-10-2018";22,9;11
"01-11-2018";47,2;NA
"02-11-2018";61,6;NA
"03-11-2018";24,6;NA
"04-11-2018";33,1;NA
"05-11-2018";39,5;NA
"06-11-2018";42,3;NA
"07-11-2018";45,7;NA
"08-11-2018";69,7;NA
"09-11-2018";93,5;NA
"10-11-2018";60,6;NA
"11-11-2018";45;NA
"12-11-2018";39,1;NA
"13-11-2018";34,1;NA
"14-11-2018";22,3;NA
"15-11-2018";42,4;NA
"16-11-2018";23,7;NA
"17-11-2018";41;NA
"18-11-2018";66,5;NA
"19-11-2018";49,6;NA
"20-11-2018";31,9;NA
"21-11-2018";34,6;NA
"22-11-2018";38,1;NA
"23-11-2018";78;NA
"24-11-2018";55,6;NA
"25-11-2018";44,3;NA
"26-11-2018";42,7;NA
"27-11-2018";31,5;NA
"28-11-2018";55,9;NA
"29-11-2018";53,3;NA
"30-11-2018";29,9;NA
"01-12-2018";47,9;NA
"02-12-2018";28,6;NA
"03-12-2018";22,5;NA
"04-12-2018";19,5;NA
"05-12-2018";47,1;NA
"06-12-2018";50,6;NA
"07-12-2018";23,8;NA
"08-12-2018";16,4;NA
"09-12-2018";6,8;NA
